user,bill_number,count
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
Carrie_Kelly17,HB3851,1
c_hansen84,HB3851,1
robertloerzel,HB3878,1
chicagobars,HB3878,1
JeffreyFrye,HB3905,1
WileyWonka59,HB3905,1
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
Carrie_Kelly17,HB3851,1
c_hansen84,HB3851,1
robertloerzel,HB3878,1
chicagobars,HB3878,1
JeffreyFrye,HB3905,1
WileyWonka59,HB3905,1
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
Carrie_Kelly17,HB3851,1
c_hansen84,HB3851,1
robertloerzel,HB3878,1
chicagobars,HB3878,1
JeffreyFrye,HB3905,1
WileyWonka59,HB3905,1
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
Carrie_Kelly17,HB3851,1
c_hansen84,HB3851,1
robertloerzel,HB3878,1
chicagobars,HB3878,1
JeffreyFrye,HB3905,1
WileyWonka59,HB3905,1
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
Carrie_Kelly17,HB3851,1
c_hansen84,HB3851,1
robertloerzel,HB3878,1
chicagobars,HB3878,1
JeffreyFrye,HB3905,1
WileyWonka59,HB3905,1
chuck_rowland,HB3905,1
Get_Outa_Here,HB3905,1
VicComed,HB3905,1
SaucedoJoe,HB3992,1
partnershipfcc,HB3992,1
JillManrique,HB4029,1
jenbotjones,HB4064,1
il_fps,HB4064,2
EpilepsyChicago,HB4133,1
BBUZZBEE,HB4133,1
NSuburbanLegal,HB4262,1
MPCJosh,HB4379,1
JohnAmdor,HB4379,1
JillManrique,HB4417,1
JillManrique,HB4510,1
APAIL,HB4704,2
SPOUIUC,HB4704,1
UISPAR,HB4783,1
Agora_180,HB4783,1
kade_heather,HB4783,1
MyxaZZ,HB4870,1
ajsolorio,HB4870,1
gunfighter0331,HB4870,1
CordonSroka,HB4870,1
WaterlooIlinois,HB5107,1
shevotesil,HB5107,1
WaterlooIlinois,HB5271,1
shevotesil,HB5271,1
rugger4equality,HB5580,1
kgoldner,HB5580,1
SAKimFoxx,HB5580,2
SecretofAging,SB0224,1
BishopOnAir,SB1407,1
PoweringChicago,SB1407,1
ILSolarEnergy,SB1781,1
mariofornarelli,SB1781,1
J0nathanR0berts,SB1781,1
SB2121,SB2121,1
ILSenDems,SB2294,2
CraigSymons,SB2294,1
PAFCAUAL,SB2294,1
ILSenDems,SB2310,2
jobip,SB2311,2
EvansWefixbikes,SB2311,1
StephanieReads,SB2311,1
ChicagoBWP,SB2311,1
RJ_Illinois,SB2311,4
JusticeRestore,SB2311,1
WSC4Justice,SB2311,1
MomsUnitedChi,SB2311,1
hannahmeisel,SB2456,1
ILSenDems,SB2456,1
ILSenDems,SB2495,3
ILSenDems,SB2497,1
bob_ketcham,SB2503,1
twyatt2200,SB2503,1
KyleThompson643,SB2503,1
logansolsun,SB2540,1
RJ_Illinois,SB2540,1
ILSenDems,SB2548,4
ILSenDems,SB2559,1
ILPsychology,SB2561,1
CherryStreet7,SB2561,1
IllinoisAFP,SB2561,1
ILPsychiatry,SB2561,1
JPCTumblr,SB2762,1
JGibsonDem,SB2762,1
RebeccaAnzel,SB2775,1
RebeccaAnzel,SB2795,1
MPCJosh,SB2993,1
JohnAmdor,SB2993,1
RebeccaAnzel,SB3027,1
RebeccaAnzel,SB3028,1
SenatorMorrison,SB3096,1
RebeccaAnzel,SB3113,1
RebeccaAnzel,SB3115,1
cmzalenski,SB3125,1
aka60643,SB3125,1
RebeccaAnzel,SB3144,1
RebeccaAnzel,SB3161,1
RebeccaAnzel,SB3162,1
RebeccaAnzel,SB3203,1
RebeccaAnzel,SB3231,1
RebeccaAnzel,SB3241,1
RebeccaAnzel,SB3247,1
RebeccaAnzel,SB3297,1
ILSenDems,SB3315,1
andvangorp,SB3329,1
SustainDuPage,SB3329,1
APAIL,SB3329,2
SPOUIUC,SB3329,1
ILSenDems,SB3416,1
senatorcastro,SB3416,1
CBHA_NET,SB3501,1
kimholderfield,SB3531,1
ICOYouth,SB3531,1
JillManrique,HB0040,1
EnjoyCrosswords,HB2899,1
lipstickpundit1,HB2899,1
ILSolarEnergy,HB2966,1
mariofornarelli,HB2966,1
J0nathanR0berts,HB2966,1
JASIAction,HB3493,1
wjk1971,HB3493,1
JennKait,HB3493,1
Gruen75,HB3493,1
ILRetirees,HB3493,2
ProtectILCare,HB3493,2
IndivChi_South,HB3493,1
IndivisibleIL,HB3493,1
JulieSampson12,HB3493,1
zeusFanHouse,HB3851,1
prokaski,HB3851,1
starkrob21,HB3851,1
Get_Outa_Here,HB3851,1
JeffreyFrye,HB3851,1
